year,match,home,OTHER,goal_difference,half_time_goal_difference,L_goals,O_goals,L_half_time_goals,O_half_time_goals,L_shots,O_shots,L_shots_on_target,O_shots_on_target,L_corners,O_corners,L_fouls_committed,O_fouls_committed,L_yellow_cards,O_yellow_cards,L_red_cards,O_red_cards,points
13-14,5,1,Southampton,-1.0,0.0,0.0,1.0,0.0,0.0,10.0,12.0,5.0,7.0,6.0,6.0,6.0,9.0,0.0,1.0,0.0,0.0,10.0
13-14,6,0,Sunderland,2.0,2.0,3.0,1.0,2.0,0.0,15.0,23.0,6.0,5.0,8.0,10.0,10.0,8.0,1.0,2.0,0.0,0.0,13.0
13-14,7,1,Crystal Palace,2.0,3.0,3.0,1.0,3.0,0.0,13.0,11.0,7.0,2.0,11.0,3.0,11.0,6.0,2.0,1.0,0.0,0.0,16.0
13-14,8,0,Newcastle,0.0,0.0,2.0,2.0,1.0,1.0,23.0,14.0,7.0,4.0,13.0,3.0,10.0,8.0,3.0,2.0,0.0,1.0,17.0
13-14,9,1,West Brom,3.0,2.0,4.0,1.0,2.0,0.0,18.0,15.0,7.0,3.0,3.0,9.0,14.0,11.0,0.0,2.0,0.0,0.0,20.0
13-14,10,0,Arsenal,-2.0,-1.0,0.0,2.0,0.0,1.0,12.0,12.0,4.0,7.0,5.0,3.0,7.0,11.0,1.0,2.0,0.0,0.0,20.0
13-14,11,1,Fulham,4.0,3.0,4.0,0.0,3.0,0.0,32.0,4.0,10.0,1.0,9.0,3.0,13.0,9.0,0.0,1.0,0.0,0.0,23.0
13-14,12,0,Everton,0.0,1.0,3.0,3.0,2.0,1.0,11.0,18.0,5.0,12.0,7.0,6.0,15.0,16.0,3.0,4.0,0.0,0.0,24.0
13-14,13,0,Hull,-2.0,0.0,1.0,3.0,1.0,1.0,9.0,12.0,4.0,4.0,6.0,2.0,16.0,10.0,0.0,2.0,0.0,0.0,24.0
13-14,14,1,Norwich,4.0,3.0,5.0,1.0,3.0,0.0,28.0,14.0,12.0,5.0,4.0,0.0,10.0,6.0,3.0,1.0,0.0,0.0,27.0
13-14,15,1,West Ham,3.0,1.0,4.0,1.0,1.0,0.0,32.0,8.0,9.0,1.0,8.0,4.0,9.0,12.0,0.0,3.0,0.0,1.0,30.0
13-14,16,0,Tottenham,5.0,2.0,5.0,0.0,2.0,0.0,21.0,9.0,10.0,0.0,9.0,2.0,15.0,17.0,0.0,3.0,0.0,1.0,33.0
13-14,17,1,Cardiff,2.0,3.0,3.0,1.0,3.0,0.0,27.0,10.0,7.0,3.0,9.0,5.0,11.0,13.0,2.0,0.0,0.0,0.0,36.0
13-14,18,0,Man City,-1.0,-1.0,1.0,2.0,1.0,2.0,12.0,20.0,5.0,6.0,6.0,7.0,9.0,10.0,3.0,1.0,0.0,0.0,36.0
13-14,19,0,Chelsea,-1.0,-1.0,1.0,2.0,1.0,2.0,8.0,11.0,4.0,5.0,2.0,4.0,17.0,17.0,1.0,4.0,0.0,0.0,36.0
13-14,20,1,Hull,2.0,1.0,2.0,0.0,1.0,0.0,17.0,10.0,6.0,0.0,3.0,4.0,15.0,15.0,1.0,2.0,0.0,0.0,39.0
13-14,21,0,Stoke,2.0,0.0,5.0,3.0,2.0,2.0,13.0,13.0,9.0,4.0,2.0,11.0,8.0,10.0,1.0,1.0,0.0,0.0,42.0
13-14,22,1,Aston Villa,0.0,-1.0,2.0,2.0,1.0,2.0,14.0,12.0,6.0,3.0,2.0,3.0,14.0,18.0,1.0,4.0,0.0,0.0,43.0
13-14,23,1,Everton,4.0,3.0,4.0,0.0,3.0,0.0,20.0,18.0,9.0,4.0,5.0,8.0,11.0,13.0,0.0,3.0,0.0,0.0,46.0
13-14,24,0,West Brom,0.0,1.0,1.0,1.0,1.0,0.0,12.0,12.0,3.0,4.0,4.0,3.0,15.0,13.0,2.0,4.0,0.0,0.0,47.0
13-14,25,1,Arsenal,4.0,4.0,5.0,1.0,4.0,0.0,22.0,11.0,12.0,6.0,6.0,6.0,14.0,14.0,1.0,2.0,0.0,0.0,50.0
13-14,26,0,Fulham,1.0,0.0,3.0,2.0,1.0,1.0,21.0,10.0,7.0,3.0,5.0,7.0,9.0,7.0,3.0,4.0,0.0,0.0,53.0
13-14,27,1,Swansea,1.0,1.0,4.0,3.0,3.0,2.0,21.0,14.0,10.0,5.0,3.0,5.0,9.0,11.0,1.0,0.0,0.0,0.0,56.0
13-14,28,0,Southampton,3.0,1.0,3.0,0.0,1.0,0.0,12.0,13.0,5.0,2.0,6.0,3.0,6.0,10.0,2.0,1.0,0.0,0.0,59.0
13-14,29,0,Man United,3.0,1.0,3.0,0.0,1.0,0.0,17.0,13.0,7.0,1.0,4.0,3.0,12.0,13.0,4.0,1.0,0.0,1.0,62.0
13-14,30,0,Cardiff,3.0,0.0,6.0,3.0,2.0,2.0,19.0,9.0,9.0,3.0,6.0,4.0,11.0,14.0,3.0,2.0,0.0,0.0,65.0
13-14,31,1,Sunderland,1.0,1.0,2.0,1.0,1.0,0.0,21.0,12.0,7.0,4.0,3.0,4.0,5.0,15.0,0.0,2.0,0.0,0.0,68.0
13-14,32,1,Tottenham,4.0,2.0,4.0,0.0,2.0,0.0,11.0,15.0,5.0,4.0,5.0,7.0,9.0,9.0,0.0,2.0,0.0,0.0,71.0
13-14,33,0,West Ham,1.0,0.0,2.0,1.0,1.0,1.0,17.0,11.0,8.0,1.0,4.0,4.0,9.0,10.0,0.0,4.0,0.0,0.0,74.0
13-14,34,1,Man City,1.0,2.0,3.0,2.0,2.0,0.0,10.0,13.0,4.0,5.0,7.0,7.0,7.0,9.0,1.0,3.0,1.0,0.0,77.0
13-14,35,0,Norwich,1.0,2.0,3.0,2.0,2.0,0.0,14.0,13.0,6.0,5.0,3.0,8.0,10.0,16.0,2.0,3.0,0.0,0.0,80.0
